square,higher_geography_identifier,geographic_region__higher_geography
SJ86U,58,Cheshire
SJ87Q,58,Cheshire
SJ87R,58,Cheshire
SJ87S,58,Cheshire
SJ87T,58,Cheshire
SJ87U,58,Cheshire
SJ88Q,58,Cheshire
SJ88R,58,Cheshire
SJ88S,58,Cheshire
SJ88T,58,Cheshire
SJ88U,58,Cheshire
SJ89Q,58,Cheshire
SJ86V,58,Cheshire
SJ86W,58,Cheshire
SJ86X,58,Cheshire
SJ86Y,58,Cheshire
SJ86Z,58,Cheshire
SJ87V,58,Cheshire
SJ87W,58,Cheshire
SJ87X,58,Cheshire
SJ87Y,58,Cheshire
SJ87Z,58,Cheshire
SJ88V,58,Cheshire
SJ88W,58,Cheshire
SJ88X,58,Cheshire
SJ88Y,58,Cheshire
SJ88Z,58,Cheshire
SJ89V,58,Cheshire
SJ96B,58,Cheshire
SJ96C,58,Cheshire
SJ96D,58,Cheshire
SJ96E,58,Cheshire
SJ97A,58,Cheshire
SJ97B,58,Cheshire
SJ97C,58,Cheshire
SJ97D,58,Cheshire
SJ97E,58,Cheshire
SJ98A,58,Cheshire
SJ98B,58,Cheshire
SJ98C,58,Cheshire
SJ98D,58,Cheshire
SJ98E,58,Cheshire
SJ99A,58,Cheshire
SJ99B,58,Cheshire
SJ96G,58,Cheshire
SJ96H,58,Cheshire
SJ96I,58,Cheshire
SJ96J,58,Cheshire
SJ97F,58,Cheshire
SJ97G,58,Cheshire
SJ97H,58,Cheshire
SJ97I,58,Cheshire
SJ97J,58,Cheshire
SJ98F,58,Cheshire
SJ98G,58,Cheshire
SJ98H,58,Cheshire
SJ98I,58,Cheshire
SJ98J,58,Cheshire
SJ99F,58,Cheshire
SJ99G,58,Cheshire
SJ99H,58,Cheshire
SJ99I,58,Cheshire
SJ99J,58,Cheshire
SJ96L,58,Cheshire
SJ96M,58,Cheshire
SJ96N,58,Cheshire
SJ96P,58,Cheshire
SJ97K,58,Cheshire
SJ97L,58,Cheshire
SJ97M,58,Cheshire
SJ97N,58,Cheshire
SJ97P,58,Cheshire
SJ98K,58,Cheshire
SJ98L,58,Cheshire
SJ98M,58,Cheshire
SJ98N,58,Cheshire
SJ98P,58,Cheshire
SJ99K,58,Cheshire
SJ99L,58,Cheshire
SJ99M,58,Cheshire
SJ99N,58,Cheshire
SJ99P,58,Cheshire
SJ96S,58,Cheshire
SJ96T,58,Cheshire
SJ96U,58,Cheshire
SJ97Q,58,Cheshire
SJ97R,58,Cheshire
SJ97S,58,Cheshire
SJ97T,58,Cheshire
SJ97U,58,Cheshire
SJ98Q,58,Cheshire
SJ98R,58,Cheshire
SJ98S,58,Cheshire
SJ98T,58,Cheshire
SJ98U,58,Cheshire
SJ99Q,58,Cheshire
SJ99R,58,Cheshire
SJ99S,58,Cheshire
SJ99T,58,Cheshire
SJ99U,58,Cheshire
SD90Q,58,Cheshire
SD90R,58,Cheshire
SJ96X,58,Cheshire
SJ96Y,58,Cheshire
SJ96Z,58,Cheshire
SJ97V,58,Cheshire
SJ97W,58,Cheshire
SJ97X,58,Cheshire
SJ97Y,58,Cheshire
SJ97Z,58,Cheshire
SJ98V,58,Cheshire
SJ98W,58,Cheshire
SJ98X,58,Cheshire
SJ98Y,58,Cheshire
SJ99W,58,Cheshire
SJ99X,58,Cheshire
SJ99Y,58,Cheshire
SJ99Z,58,Cheshire
SD90V,58,Cheshire
SD90W,58,Cheshire
SK06D,58,Cheshire
SK06E,58,Cheshire
SK07A,58,Cheshire
SK07B,58,Cheshire
SK07C,58,Cheshire
SK07D,58,Cheshire
SK07E,58,Cheshire
SK08A,58,Cheshire
SK08B,58,Cheshire
SK08C,58,Cheshire
SK09C,58,Cheshire
SK09D,58,Cheshire
SK09E,58,Cheshire
SE00A,58,Cheshire
SE00B,58,Cheshire
SK09I,58,Cheshire
SK09J,58,Cheshire
SE00F,58,Cheshire
SK09N,58,Cheshire
SK09P,58,Cheshire
SE00K,58,Cheshire
SE00L,58,Cheshire
SE00M,58,Cheshire
SK09U,58,Cheshire
SE00Q,58,Cheshire
SE00R,58,Cheshire
SE00S,58,Cheshire
SK09Z,58,Cheshire
SE00V,58,Cheshire
SE00W,58,Cheshire
SE00X,58,Cheshire
SK19E,58,Cheshire
SE10A,58,Cheshire
SE10B,58,Cheshire
SK19J,58,Cheshire
SE10F,58,Cheshire
SE10G,58,Cheshire
SD22X,60,West Lancashire
SD22Y,60,West Lancashire
SD22Z,60,West Lancashire
SD23V,60,West Lancashire
SD23W,60,West Lancashire
SD23X,60,West Lancashire
SD32C,60,West Lancashire
SD32D,60,West Lancashire
SD32E,60,West Lancashire
SD33A,60,West Lancashire
SD33B,60,West Lancashire
SD33C,60,West Lancashire
SD33D,60,West Lancashire
SD33E,60,West Lancashire
SD34A,60,West Lancashire
SD34B,60,West Lancashire
SD34C,60,West Lancashire
SD34D,60,West Lancashire
SD34E,60,West Lancashire
SD35A,60,West Lancashire
SD32I,60,West Lancashire
SD32J,60,West Lancashire
SD33F,60,West Lancashire
SD33G,60,West Lancashire
SD33H,60,West Lancashire
SD33I,60,West Lancashire
SD33J,60,West Lancashire
SD34F,60,West Lancashire
SD34G,60,West Lancashire
SD34H,60,West Lancashire
SD34I,60,West Lancashire
SD34J,60,West Lancashire
SD35F,60,West Lancashire
SD35G,60,West Lancashire
SD32N,60,West Lancashire
SD32P,60,West Lancashire
SD33K,60,West Lancashire
SD33L,60,West Lancashire
SD33M,60,West Lancashire
SD33N,60,West Lancashire
SD33P,60,West Lancashire
SD34K,60,West Lancashire
SD34L,60,West Lancashire
SD34M,60,West Lancashire
SD34N,60,West Lancashire
SD34P,60,West Lancashire
SD35K,60,West Lancashire
SD35L,60,West Lancashire
SD35M,60,West Lancashire
SD32T,60,West Lancashire
SD32U,60,West Lancashire
SD33Q,60,West Lancashire
SD33R,60,West Lancashire
SD33S,60,West Lancashire
SD33T,60,West Lancashire
SD33U,60,West Lancashire
SD34Q,60,West Lancashire
SD34R,60,West Lancashire
SD34S,60,West Lancashire
SD34T,60,West Lancashire
SD34U,60,West Lancashire
SD35Q,60,West Lancashire
SD35R,60,West Lancashire
SD35S,60,West Lancashire
SD35T,60,West Lancashire
SD32Y,60,West Lancashire
SD32Z,60,West Lancashire
SD33V,60,West Lancashire
SD33W,60,West Lancashire
SD33X,60,West Lancashire
SD33Y,60,West Lancashire
SD33Z,60,West Lancashire
SD34V,60,West Lancashire
SD34W,60,West Lancashire
SD34X,60,West Lancashire
SD34Y,60,West Lancashire
SD34Z,60,West Lancashire
SD35V,60,West Lancashire
SD35W,60,West Lancashire
SD35X,60,West Lancashire
SD35Y,60,West Lancashire
SD35Z,60,West Lancashire
SD36V,60,West Lancashire
SD36W,60,West Lancashire
SD42D,60,West Lancashire
SD42E,60,West Lancashire
SD43A,60,West Lancashire
SD43B,60,West Lancashire
SD43C,60,West Lancashire
SD43D,60,West Lancashire
SD43E,60,West Lancashire
SD44A,60,West Lancashire
SD44B,60,West Lancashire
SD44C,60,West Lancashire
SD44D,60,West Lancashire
SD44E,60,West Lancashire
SD45A,60,West Lancashire
SD45B,60,West Lancashire
SD45C,60,West Lancashire
SD45D,60,West Lancashire
SD45E,60,West Lancashire
SD46A,60,West Lancashire
SD46B,60,West Lancashire
SD46C,60,West Lancashire
SD46D,60,West Lancashire
SD46E,60,West Lancashire
SD47A,60,West Lancashire
SD47C,60,West Lancashire
SD47D,60,West Lancashire
SD42I,60,West Lancashire
SD42J,60,West Lancashire
SD43F,60,West Lancashire
SD43G,60,West Lancashire
SD43H,60,West Lancashire
SD43I,60,West Lancashire
SD43J,60,West Lancashire
SD44F,60,West Lancashire
SD44G,60,West Lancashire
SD44H,60,West Lancashire
SD44I,60,West Lancashire
SD44J,60,West Lancashire
SD45F,60,West Lancashire
SD45G,60,West Lancashire
SD45H,60,West Lancashire
SD45I,60,West Lancashire
SD45J,60,West Lancashire
SD46F,60,West Lancashire
SD46G,60,West Lancashire
SD46H,60,West Lancashire
SD46I,60,West Lancashire
SD46J,60,West Lancashire
SD47F,60,West Lancashire
SD47G,60,West Lancashire
SD47H,60,West Lancashire
SD47I,60,West Lancashire
SD42N,60,West Lancashire
SD42P,60,West Lancashire
SD43K,60,West Lancashire
SD43L,60,West Lancashire
SD43M,60,West Lancashire
SD43N,60,West Lancashire
SD43P,60,West Lancashire
SD44K,60,West Lancashire
SD44L,60,West Lancashire
SD44M,60,West Lancashire
SD44N,60,West Lancashire
SD44P,60,West Lancashire
SD45K,60,West Lancashire
SD45L,60,West Lancashire
SD45M,60,West Lancashire
SD45N,60,West Lancashire
SD45P,60,West Lancashire
SD46K,60,West Lancashire
SD46L,60,West Lancashire
SD46M,60,West Lancashire
SD46N,60,West Lancashire
SD46P,60,West Lancashire
SD47K,60,West Lancashire
SD47L,60,West Lancashire
SD47M,60,West Lancashire
SD47N,60,West Lancashire
SD42U,60,West Lancashire
SD43Q,60,West Lancashire
SD43R,60,West Lancashire
SD43S,60,West Lancashire
SD43T,60,West Lancashire
SD43U,60,West Lancashire
SD44Q,60,West Lancashire
SD44R,60,West Lancashire
SD44S,60,West Lancashire
SD44T,60,West Lancashire
SD44U,60,West Lancashire
SD45Q,60,West Lancashire
SD45R,60,West Lancashire
SD45S,60,West Lancashire
SD45T,60,West Lancashire
SD45U,60,West Lancashire
SD46Q,60,West Lancashire
SD46R,60,West Lancashire
SD46S,60,West Lancashire
SD46T,60,West Lancashire
SD46U,60,West Lancashire
SD47Q,60,West Lancashire
SD47R,60,West Lancashire
SD47S,60,West Lancashire
SD47T,60,West Lancashire
